NCBI	Select_primate	Common Name	Order	Family	Species	Reference 
NC_004028	x	European Hare	Lagomorpha	Leporidae	Lepus europaeus	[S25]
NC_001913	x	Rabbit	Lagomorpha	Leporidae	Oryctolagus cuniculus	[S58]
NC_003033	x	Collared Pika	Lagomorpha	Ochotonidae	Ochotona collaris	[S59]
NC_011029	x	Black-lipped Pika	Lagomorpha	Ochotonidae	Ochotona curzoniae	DS
NC_005358	x	American Pika	Lagomorpha	Ochotonidae	Ochotona princeps	DS
NC_002763	x	White-fronted Capuchin	Primates	Cebidae	Cebus albifrons	[S65]
NC_008066	x	Green Monkey	Primates	Cercopithecidae	Chlorocebus sabaeus	DS
NC_002764	x	Barbary Macaque	Primates	Cercopithecidae	Macaca sylvanus	[S65]
NC_001992	x	Hamadryas Baboon	Primates	Cercopithecidae	Papio hamadryas	[S69]
NC_001645	x	Western Gorilla	Primates	Hominidae	Gorilla gorilla	[S70]
AC_000021	x	Human	Primates	Hominidae	Homo sapiens	[S72-S73]
NC_001807	x	Human	Primates	Hominidae	Homo sapiens	[S74]
NC_001644	x	Bonobo	Primates	Hominidae	Pan paniscus	[S70, S75-S77]
NC_001643	x	Chimpanzee	Primates	Hominidae	Pan troglodytes	[S70, S75-S77]
NC_002083	x	Sumatran Orangutan	Primates	Hominidae	Pongo abelii	[S78]
NC_009747	x	Vervet Monkey	Primates	Cercopithecidae	Chlorocebus pygerythrus	[S66]
NC_009748	x	Tantalus Monkey	Primates	Cercopithecidae	Chlorocebus tantalus	[S66]
NC_006901	x	Guereza	Primates	Cercopithecidae	Colobus guereza	[S67]
NC_008216	x	Proboscis Monkey	Primates	Cercopithecidae	Nasalis larvatus	[S68]
NC_008219	x	Red Colobus	Primates	Cercopithecidae	Piliocolobus badius	[S68]
NC_008217	x	Mitred Leaf Monkey	Primates	Cercopithecidae	Presbytis melalophos	[S68]
NC_008220	x	Douc Langur	Primates	Cercopithecidae	Pygathrix nemaeus	[S68]
NC_008218	x	Golden Snub-nosed Monkey	Primates	Cercopithecidae	Rhinopithecus roxellana	[S68]
NC_008215	x	Hanuman Langur	Primates	Cercopithecidae	Semnopithecus entellus	[S68]
NC_006900	x	Dusky Leaf Monkey	Primates	Cercopithecidae	Trachypithecus obscurus	[S67]
NC_010299	x	Aye-aye	Primates	Daubentoniidae	Daubentonia madagascariensis	[S2]
